date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m�),PAR (�mol/m�/s),max. PAR (�mol/m�/s),Tlog (degC),OT
2020-01-01 00,1008.7119999999999,0.5780000000000001,273.058,-1.478,86.02000000000001,6.37,5.478,0.89,3.386,5.432,1281.058,0.732,1.3599999999999999,208.84,0.0,0.0,0.0,0.0,0.0,11.614,429.18
2020-01-01 00,1008.3566666666667,0.14166666666666666,272.65000000000003,-1.6616666666666668,87.60000000000001,6.170000000000001,5.405,0.765,3.3383333333333334,5.363333333333333,1282.6933333333334,0.7816666666666667,1.3533333333333335,177.79999999999998,0.0,0.0,0.0,0.0,0.0,12.063333333333333,432.05
2020-01-01 00,1008.3333333333334,-0.15333333333333335,272.36,-1.8,88.58333333333333,6.038333333333333,5.3500000000000005,0.6916666666666668,3.3066666666666666,5.305,1284.0683333333334,0.51,1.23,169.36333333333334,0.0,0.0,0.0,0.0,0.0,12.008333333333333,434.01666666666665
2020-01-01 00,1008.1666666666666,-0.615,271.91333333333336,-2.0749999999999997,89.78333333333335,5.841666666666666,5.243333333333333,0.5983333333333333,3.2416666666666667,5.201666666666667,1286.0783333333334,0.9083333333333333,1.5066666666666666,185.70166666666668,0.0,0.0,0.0,0.0,0.0,11.558333333333332,431.56666666666666
2020-01-01 00,1007.8983333333334,-1.4166666666666667,271.13166666666666,-2.6133333333333333,91.5,5.503333333333333,5.036666666666666,0.47,3.115,4.996666666666667,1289.6383333333333,1.0083333333333333,1.8966666666666667,166.43333333333334,0.0,0.0,0.0,0.0,0.0,10.868333333333334,432.8833333333334
2020-01-01 01,1007.8016666666666,-2.203333333333333,270.3566666666667,-3.1149999999999998,93.41666666666667,5.195,4.851666666666667,0.34,3.001666666666667,4.815,1293.3366666666668,0.965,1.6933333333333334,178.48333333333335,0.0,0.0,0.0,0.0,0.0,10.058333333333334,436.93333333333334
2020-01-01 01,1008.0666666666666,-2.6666666666666665,269.87166666666667,-3.41,94.58333333333333,5.0183333333333335,4.743333333333333,0.27,2.9316666666666666,4.708333333333333,1295.9466666666667,0.7833333333333333,1.5266666666666666,180.88333333333333,0.0,0.0,0.0,0.0,0.0,9.445,438.15000000000003
2020-01-01 01,1008.1750000000001,-2.5500000000000003,269.9816666666667,-3.3349999999999995,94.28333333333335,5.06,4.771666666666667,0.28833333333333333,2.9516666666666667,4.733333333333333,1295.51,0.8783333333333333,1.6533333333333333,181.25,0.0,0.0,0.0,0.0,0.0,9.046666666666667,436.1166666666666
2020-01-01 01,1008.0866666666667,-2.935,269.60166666666663,-3.723333333333333,94.26666666666667,4.916666666666667,4.635000000000001,0.28,2.865,4.596666666666667,1297.3183333333334,0.7949999999999999,1.36,175.21666666666667,0.0,0.0,9.725,20.881666666666664,26.285,8.876666666666667,435.98333333333335
2020-01-01 01,1008.2399999999999,-2.9299999999999997,269.5983333333333,-3.8733333333333335,93.16666666666667,4.918333333333333,4.583333333333333,0.33666666666666667,2.8350000000000004,4.546666666666667,1297.51,0.8333333333333334,1.51,132.54,0.0,0.0,112.98,158.46166666666667,174.16333333333333,8.941666666666668,440.23333333333335
